#  Steps           Rx_A           Rx_B           Epot           Temp           Ekin           Etot
    2270      -0.000000     -17.274800  -12734.337146       0.062292     186.876701  -12547.460445
    2280      -0.000000     -17.262800  -12734.340804       0.062293     186.880325  -12547.460479
    2290      -0.000000     -17.250800  -12734.245349       0.062262     186.784868  -12547.460481
    2300      -0.000000     -17.238800  -12734.054117       0.062198     186.593654  -12547.460463
    2310      -0.000000     -17.226800  -12733.777872       0.062106     186.317396  -12547.460476
    2320      -0.000000     -17.214800  -12733.425335       0.061988     185.964861  -12547.460474
    2330      -0.000000     -17.202800  -12733.007261       0.061849     185.546804  -12547.460457
    2340      -0.000000     -17.190800  -12732.535666       0.061692     185.075213  -12547.460453
    2350      -0.000000     -17.178800  -12732.024041       0.061521     184.563608  -12547.460433
    2360      -0.000000     -17.166800  -12731.489753       0.061343     184.029353  -12547.460400
    2370      -0.000000     -17.154800  -12730.951992       0.061164     183.491572  -12547.460420
    2380      -0.000000     -17.142800  -12730.427531       0.060989     182.967146  -12547.460385
    2390      -0.000000     -17.130800  -12729.931335       0.060824     182.470940  -12547.460396
    2400      -0.000000     -17.118800  -12729.477428       0.060672     182.017032  -12547.460396
    2410      -0.000000     -17.106800  -12729.079956       0.060540     181.619551  -12547.460406
    2420      -0.000000     -17.094800  -12728.750278       0.060430     181.289877  -12547.460401
    2430      -0.000000     -17.082800  -12728.498104       0.060346     181.037713  -12547.460391
    2440      -0.000000     -17.070800  -12728.329773       0.060290     180.869377  -12547.460396
    2450      -0.000000     -17.058800  -12728.249709       0.060263     180.789312  -12547.460397
    2460      -0.000000     -17.046800  -12728.260673       0.060267     180.800276  -12547.460397
    2470      -0.000000     -17.034800  -12728.362649       0.060301     180.902252  -12547.460398
    2480      -0.000000     -17.022800  -12728.552581       0.060364     181.092181  -12547.460400
    2490      -0.000000     -17.010800  -12728.824345       0.060455     181.363944  -12547.460401
    2500      -0.000000     -16.998800  -12729.169920       0.060570     181.709511  -12547.460409
    2510      -0.000000     -16.986800  -12729.578952       0.060706     182.118534  -12547.460418
    2520      -0.000000     -16.974800  -12730.039244       0.060860     182.578819  -12547.460425
    2530      -0.000000     -16.962800  -12730.537589       0.061026     183.077146  -12547.460442
    2540      -0.000000     -16.950800  -12731.059394       0.061200     183.598945  -12547.460449
    2550      -0.000000     -16.938800  -12731.588970       0.061376     184.128516  -12547.460454
    2560      -0.000000     -16.926800  -12732.109935       0.061550     184.649465  -12547.460469
    2570      -0.000000     -16.914800  -12732.606591       0.061715     185.146125  -12547.460466
    2580      -0.000000     -16.902800  -12733.065791       0.061868     185.605317  -12547.460474
    2590      -0.000000     -16.890800  -12733.473906       0.062004     186.013413  -12547.460493
    2600      -0.000000     -16.878800  -12733.818195       0.062119     186.357731  -12547.460464
    2610      -0.000000     -16.866800  -12734.086623       0.062209     186.626170  -12547.460453
    2620      -0.000000     -16.854800  -12734.267033       0.062269     186.806547  -12547.460486
    2630      -0.000000     -16.842800  -12734.351230       0.062297     186.890712  -12547.460518
    2640      -0.000000     -16.830800  -12734.337878       0.062292     186.877332  -12547.460546
    2650      -0.000000     -16.818800  -12734.227815       0.062256     186.767270  -12547.460546
    2660      -0.000000     -16.806800  -12734.022768       0.062187     186.562241  -12547.460528
    2670      -0.000000     -16.794800  -12733.728380       0.062089     186.267852  -12547.460528
    2680      -0.000000     -16.782800  -12733.355882       0.061965     185.895373  -12547.460509
    2690      -0.000000     -16.770800  -12732.917752       0.061819     185.457275  -12547.460477
    2700      -0.000000     -16.758800  -12732.428256       0.061656     184.967782  -12547.460474
    2710      -0.000000     -16.746800  -12731.901178       0.061480     184.440710  -12547.460468
    2720      -0.000000     -16.734800  -12731.353561       0.061298     183.893115  -12547.460447
    2730      -0.000000     -16.722800  -12730.805035       0.061115     183.344599  -12547.460437
    2740      -0.000000     -16.710800  -12730.275153       0.060938     182.814727  -12547.460425
    2750      -0.000000     -16.698800  -12729.782142       0.060774     182.321726  -12547.460417
