#Cycle	Epot	P

 643	-7.203066	0.187637
 644	-8.838019	0.187617
 645	-8.939848	0.187664
 646	-10.164915	0.187522
 647	-7.428840	0.187649
 648	-7.876285	0.187582
 649	-9.393588	0.187468
 650	-9.786769	0.187496
 651	-10.835910	0.187438
 652	-9.167874	0.187607
 653	-10.822866	0.187519
 654	-10.026282	0.187569
 655	-11.136591	0.187649
 656	-11.617380	0.187589
 657	-11.893315	0.187536
 658	-10.187918	0.187547
 659	-8.506797	0.187508
 660	-7.747491	0.187453
 661	-8.277644	0.187390
 662	-8.289249	0.187428
 663	-6.616435	0.187582
 664	-8.692207	0.187636
 665	-9.745378	0.187551
 666	-11.416071	0.187595
 667	-7.042129	0.187806
 668	-6.797641	0.187872
 669	-11.149406	0.187530
 670	-11.663645	0.187523
 671	-12.619440	0.187449
 672	-10.083052	0.187625
 673	-10.993683	0.187466
 674	-11.495882	0.187464
 675	-12.479443	0.187446
 676	-7.693660	0.187552
 677	-8.331339	0.187398
 678	-5.326300	0.187577
 679	-8.247938	0.187448
 680	-8.121708	0.187577
 681	-12.315878	0.187389
 682	-11.271984	0.187461
 683	-9.984858	0.187374
 684	-9.486385	0.187383
 685	-0.408379	0.188038
 686	-1.164355	0.188068
 687	-11.804848	0.187524
 688	-11.812120	0.187422
 689	-11.453190	0.187493
 690	-11.125490	0.187616
 691	-10.283153	0.187665
 692	-14.197655	0.187560
 693	-10.437148	0.187848
 694	-12.965537	0.187633
 695	-15.284134	0.187595
 696	-14.836180	0.187456
 697	-11.913267	0.187482
 698	-10.088655	0.187525
 699	-11.293892	0.187485
 700	-12.998022	0.187485
 701	-15.149430	0.187365
 702	-11.369796	0.187445
 703	-13.123855	0.187379
 704	-11.661099	0.187644
 705	-11.586136	0.187710
 706	-10.645865	0.187662
 707	-10.731015	0.187674
 708	-13.553485	0.187530
 709	-11.085329	0.187672
 710	-10.868922	0.187590
 711	-10.972495	0.187770
 712	-11.050693	0.187749
 713	-9.232726	0.187762
 714	-11.259045	0.187627
 715	-10.976502	0.187607
 716	-11.134038	0.187637
 717	-13.141499	0.187533
 718	-9.860939	0.187557
 719	-11.445494	0.187565
 720	-10.327797	0.187545
 721	-10.686139	0.187511
 722	-10.006677	0.187433
 723	-9.148292	0.187374
 724	-7.472518	0.187499
 725	-8.382366	0.187555
 726	-9.738669	0.187614
 727	-12.942186	0.187564
 728	-11.794871	0.187625
 729	-9.737089	0.187750
 730	-10.619352	0.187611
 731	-11.436269	0.187469
 732	-11.628709	0.187610
 733	-8.005580	0.187866
 734	-10.195396	0.187847
 735	-12.191807	0.187744
 736	-12.669456	0.187617
 737	-14.932853	0.187503
 738	-15.696604	0.187461
 739	-14.616696	0.187548
 740	-16.482629	0.187329
 741	-5.059660	0.187974
 742	-1.875142	0.188123
 743	-13.984080	0.187587
 744	-13.199743	0.187564
 745	-14.855666	0.187433
 746	-14.915478	0.187482
 747	-12.532546	0.187706
 748	-13.160345	0.187652
 749	-14.851637	0.187456
 750	-15.699923	0.187410
 751	-14.527978	0.187373
 752	-10.744661	0.187522
 753	-11.492682	0.187431
 754	-12.293592	0.187411
 755	-11.235599	0.187533
 756	-12.657484	0.187423
 757	-11.524212	0.187421
 758	-10.757670	0.187461
 759	-11.123267	0.187518
 760	-11.526449	0.187516
 761	-10.946517	0.187437
 762	-11.379570	0.187455
 763	-8.881744	0.187489
 764	-10.718094	0.187473
 765	-10.034025	0.187605
 766	-14.990004	0.187602
 767	-11.472517	0.187738
 768	-14.768451	0.187691
 769	-15.371588	0.187531
 770	-15.289228	0.187576
 771	-12.548058	0.187656
 772	-12.193405	0.187557
 773	-11.708869	0.187514
 774	-12.734583	0.187418
 775	-13.187424	0.187452
 776	-11.667391	0.187565
 777	-14.258224	0.187492
 778	-14.159159	0.187504
 779	-12.697831	0.187541
 780	-13.148889	0.187522
 781	-13.964687	0.187415
 782	-13.091950	0.187448
 783	-10.122643	0.187582
 784	-10.885168	0.187578
 785	-15.887564	0.187373
 786	-13.514665	0.187654
 787	-16.898205	0.187566
 788	-15.269417	0.187622
 789	-17.706041	0.187539
 790	-18.167814	0.187571
 791	-16.937987	0.187794
 792	-15.581339	0.187744
 793	-13.232864	0.187608
 794	-10.654131	0.187663
 795	-11.612505	0.187681
 796	-10.471630	0.187840
 797	-4.403760	0.188082
 798	-8.537025	0.187782
 799	-10.382730	0.187504
 800	-12.453187	0.187587
 801	-16.497443	0.187560
 802	-13.432578	0.187579
 803	-13.145772	0.187536
 804	-9.542734	0.187786
 805	-9.798462	0.187746
 806	-11.366832	0.187640
 807	-14.778342	0.187378
 808	-13.285892	0.187450
 809	-12.184522	0.187453
 810	-11.479719	0.187420
 811	-12.000319	0.187452
 812	-12.577267	0.187525
 813	-13.565480	0.187676
 814	-13.387776	0.187898
 815	-16.463877	0.187614
 816	-12.934676	0.187597
 817	-12.484704	0.187704
 818	-13.944259	0.187630
 819	-16.253238	0.187602
 820	-15.836338	0.187467
 821	-11.095107	0.187593
 822	-14.889186	0.187488
 823	-12.845598	0.187553
 824	-15.241052	0.187341
 825	-15.164775	0.187374
 826	-12.073523	0.187639
 827	-15.490892	0.187473
 828	-13.451531	0.187607
 829	-7.638384	0.187816
 830	-12.898083	0.187498
 831	-10.667192	0.187650
 832	-8.318373	0.187692
 833	-12.215851	0.187418
 834	-12.971781	0.187433
 835	-13.174136	0.187480
 836	-9.837862	0.187644
 837	-10.662151	0.187459
 838	-12.489469	0.187414
 839	-11.550217	0.187501
 840	-10.844860	0.187461
 841	-9.073848	0.187509
 842	-11.130349	0.187399
 843	-13.408843	0.187503
 844	-7.531907	0.187736
 845	-6.406018	0.187828
 846	-8.777071	0.187467
 847	-6.141644	0.187658
 848	-6.119498	0.187644
 849	-9.376596	0.187485
 850	-7.027749	0.187515
 851	-10.944916	0.187402
 852	-6.301721	0.187770
 853	-6.461778	0.187741
 854	-0.341680	0.187997
 855	-1.893727	0.187911
 856	-6.263358	0.187676
 857	-6.899209	0.187628
 858	-8.347165	0.187447
 859	-8.229462	0.187393
 860	-9.193417	0.187405
 861	-6.129551	0.187703
 862	-7.542239	0.187554
 863	-10.092665	0.187455
 864	-10.403779	0.187418
 865	-8.916457	0.187540
 866	-5.619323	0.187777
 867	-5.305894	0.187744
 868	-6.816638	0.187666
 869	-4.962543	0.187827
 870	-5.044604	0.187666
 871	-7.764583	0.187619
 872	-9.178116	0.187488
 873	-10.025262	0.187466
 874	-2.831409	0.187910
 875	-9.751587	0.187504
 876	-10.889286	0.187491
 877	-9.728225	0.187594
 878	-9.550338	0.187627
 879	-12.070149	0.187523
 880	-11.903624	0.187617
 881	-13.626597	0.187470
 882	-14.511826	0.187471
 883	-11.084379	0.187588
 884	-5.722444	0.187854
 885	-7.075005	0.187811
 886	-9.383850	0.187468
 887	-8.438714	0.187669
 888	-6.946462	0.187799
 889	-10.727015	0.187676
 890	-8.726742	0.187770
 891	-1.191051	0.188187
 892	-7.628286	0.187767
 893	-10.466805	0.187611
 894	-12.364360	0.187439
 895	-12.273872	0.187389
 896	-12.271701	0.187489
 897	-12.134153	0.187539
 898	-8.639012	0.187758
 899	-13.260642	0.187737
 900	-12.921436	0.187735
 901	-12.794756	0.187803
 902	-8.962006	0.187925
 903	-8.842989	0.187955
 904	-12.377538	0.187618
 905	-14.033818	0.187420
 906	-12.584635	0.187445
 907	-14.046831	0.187519
 908	-13.219625	0.187500
 909	-13.164981	0.187411
 910	-12.444547	0.187469
 911	-9.587960	0.187522
 912	-9.684369	0.187460
 913	-10.803460	0.187413
 914	-9.154580	0.187646
 915	-10.723231	0.187438
 916	-8.676300	0.187476
 917	-9.388026	0.187474
 918	-8.406534	0.187585
 919	-3.886832	0.187836
 920	-5.838384	0.187538
 921	-8.416421	0.187396
 922	-7.389209	0.187434
 923	-3.448662	0.187701
 924	-2.272873	0.187745
 925	-2.279115	0.187820
 926	-9.049418	0.187501
 927	-9.932074	0.187467
 928	-11.958814	0.187514
 929	-7.550168	0.187717
 930	-9.689821	0.187672
 931	-11.420753	0.187585
 932	-11.079751	0.187540
 933	-10.559041	0.187393
 934	-8.528022	0.187695
 935	-0.575945	0.188080
 936	-2.950860	0.188085
 937	-1.580141	0.188122
 938	-9.798183	0.187698
 939	-10.392618	0.187598
 940	-10.601321	0.187508
 941	-10.235921	0.187594
 942	-11.378841	0.187600
 943	-12.712441	0.187398
 944	-11.159850	0.187465
 945	-9.432993	0.187490
 946	-8.153085	0.187446
 947	-11.429741	0.187424
 948	-6.827966	0.187753
 949	-6.987875	0.187662
 950	-9.783367	0.187388
 951	-8.383764	0.187417
 952	-7.873440	0.187600
 953	-1.751194	0.187930
 954	-1.697269	0.187933
 955	-2.790268	0.187984
 956	-8.066647	0.187798
 957	-9.233713	0.187657
 958	-14.341763	0.187492
 959	-15.721889	0.187524
 960	-12.663111	0.187664
 961	-9.257503	0.187643
 962	-6.411138	0.187686
 963	-10.049937	0.187493
 964	-10.766055	0.187472
 965	-11.522347	0.187391
 966	-12.585421	0.187496
 967	-12.885063	0.187593
 968	-12.459040	0.187489
 969	-6.524451	0.187721
 970	-9.503052	0.187632
 971	-9.777637	0.187467
 972	-9.112823	0.187530
 973	-5.689013	0.187774
 974	-5.975586	0.187825
 975	-12.084396	0.187744
 976	-13.511366	0.187499
 977	-11.030329	0.187549
 978	-9.529250	0.187658
 979	-8.693426	0.187780
 980	-12.309147	0.187488
 981	-12.135216	0.187541
 982	-6.868980	0.187781
 983	-11.714308	0.187592
 984	-13.233926	0.187584
 985	-12.350397	0.187622
 986	-11.088608	0.187606
 987	-7.638989	0.187752
 988	-6.139190	0.187774
 989	-9.053694	0.187483
 990	-8.550583	0.187407
 991	-9.611408	0.187401
 992	-9.538690	0.187431
 993	-10.225113	0.187412
 994	-6.755706	0.187618
 995	-7.102440	0.187664
 996	-10.100398	0.187592
