#Cycle	Epot	P

 821	-279.507621	0.000000
 822	-279.551910	0.000000
 823	-279.277628	0.000000
 824	-279.338330	0.000000
 825	-279.514895	0.000000
 826	-279.942890	0.000000
 827	-279.948572	0.000000
 828	-279.981846	0.000000
 829	-279.702272	0.000000
 830	-279.469074	0.000000
 831	-279.310375	0.000000
 832	-279.313352	0.000000
 833	-279.467399	0.000000
 834	-279.044812	0.000000
 835	-278.996265	0.000000
 836	-279.308506	0.000000
 837	-279.266548	0.000000
 838	-279.253173	0.000000
 839	-279.306901	0.000000
 840	-279.497328	0.000000
 841	-279.337388	0.000000
 842	-279.251905	0.000000
 843	-279.293285	0.000000
 844	-279.521758	0.000000
 845	-279.841119	0.000000
 846	-279.784590	0.000000
 847	-279.606964	0.000000
 848	-279.360457	0.000000
 849	-279.266504	0.000000
 850	-279.538305	0.000000
 851	-279.536939	0.000000
 852	-279.297039	0.000000
 853	-279.225593	0.000000
 854	-278.935351	0.000000
 855	-278.966167	0.000000
 856	-278.551179	0.000000
 857	-278.514175	0.000000
 858	-278.768816	0.000000
 859	-278.827917	0.000000
 860	-278.799021	0.000000
 861	-278.778749	0.000000
 862	-278.691408	0.000000
 863	-278.731622	0.000000
 864	-279.227594	0.000000
 865	-279.232043	0.000000
 866	-279.231488	0.000000
 867	-279.346097	0.000000
 868	-278.969634	0.000000
 869	-278.948001	0.000000
 870	-279.165609	0.000000
 871	-279.217049	0.000000
 872	-279.216613	0.000000
 873	-279.541692	0.000000
 874	-279.802397	0.000000
 875	-279.320274	0.000000
 876	-278.974670	0.000000
 877	-279.027515	0.000000
 878	-278.732628	0.000000
 879	-278.785470	0.000000
 880	-279.199860	0.000000
 881	-279.125798	0.000000
 882	-279.167206	0.000000
 883	-279.145519	0.000000
 884	-279.021025	0.000000
 885	-278.820638	0.000000
 886	-278.782751	0.000000
 887	-279.044114	0.000000
 888	-278.640376	0.000000
 889	-278.740958	0.000000
 890	-279.083391	0.000000
 891	-279.112297	0.000000
 892	-279.242404	0.000000
 893	-279.426142	0.000000
 894	-279.217231	0.000000
 895	-278.679619	0.000000
 896	-278.649813	0.000000
 897	-278.801410	0.000000
 898	-278.912189	0.000000
 899	-278.663947	0.000000
 900	-278.823000	0.000000
 901	-279.166436	0.000000
 902	-279.009563	0.000000
 903	-278.863429	0.000000
 904	-278.788874	0.000000
 905	-278.534381	0.000000
 906	-278.349224	0.000000
 907	-278.779494	0.000000
 908	-278.971570	0.000000
 909	-279.268531	0.000000
 910	-279.223264	0.000000
 911	-279.121827	0.000000
 912	-279.083246	0.000000
 913	-279.020290	0.000000
 914	-278.770560	0.000000
 915	-278.599160	0.000000
 916	-278.770982	0.000000
 917	-278.728655	0.000000
 918	-278.292445	0.000000
 919	-278.580245	0.000000
 920	-278.594936	0.000000
 921	-278.689607	0.000000
 922	-278.852688	0.000000
 923	-278.818517	0.000000
 924	-278.914447	0.000000
 925	-278.858366	0.000000
 926	-279.069951	0.000000
 927	-279.085461	0.000000
 928	-279.287041	0.000000
 929	-279.393312	0.000000
 930	-279.409273	0.000000
 931	-279.100348	0.000000
 932	-279.075855	0.000000
 933	-279.289578	0.000000
 934	-279.163459	0.000000
 935	-279.363310	0.000000
 936	-279.626526	0.000000
 937	-279.550729	0.000000
 938	-279.563023	0.000000
 939	-279.040511	0.000000
 940	-279.326237	0.000000
 941	-279.231260	0.000000
 942	-279.175477	0.000000
 943	-279.317840	0.000000
 944	-279.525819	0.000000
 945	-279.533534	0.000000
 946	-279.428346	0.000000
 947	-279.614594	0.000000
 948	-279.786057	0.000000
 949	-279.481223	0.000000
 950	-279.411181	0.000000
 951	-279.439087	0.000000
 952	-279.776552	0.000000
 953	-279.777426	0.000000
 954	-279.723870	0.000000
 955	-279.562309	0.000000
 956	-279.718945	0.000000
 957	-279.962807	0.000000
 958	-280.203250	0.000000
 959	-280.118692	0.000000
 960	-279.991810	0.000000
 961	-280.041735	0.000000
 962	-279.828115	0.000000
 963	-280.142963	0.000000
 964	-279.845001	0.000000
 965	-279.408044	0.000000
 966	-279.317089	0.000000
 967	-279.182890	0.000000
 968	-278.854822	0.000000
 969	-279.426345	0.000000
 970	-279.799017	0.000000
 971	-279.693106	0.000000
 972	-279.983984	0.000000
 973	-279.626038	0.000000
 974	-279.717834	0.000000
 975	-279.945343	0.000000
 976	-280.389422	0.000000
 977	-280.240062	0.000000
 978	-280.044790	0.000000
 979	-280.202087	0.000000
 980	-280.348919	0.000000
 981	-280.337586	0.000000
 982	-280.342740	0.000000
 983	-280.668086	0.000000
